sha,name,package,certificate,filters,activities,receivers,services,permissions,http,hosts,domains,dns,fileswritten,cryptousage,filesread,sendsms,sendnet,recvnet
02816e04190b9627004f216817250d6b5e1d03b3ad8038026a3a184bc202d313,足疗足部按摩全解,info.barongouwu.lltbyrlud,7EF1E7C0,2,2,1,1,10,4,2,3,6,13,0,19,0,4,5
0281a66ce77c86e5c59ef644769fdcb2d8800ccc5ae168192279bfe3d8aa96ec,掌上营业厅,s.t.y.u.i.p.t.ttestmazi,936EACBE07F201DF,3,1,2,2,6,0,0,0,0,0,0,1,1,0,0
028b24d18442de00df8a454dcd55f0df53dd9442712de91d4719c81fb6dafc05,图片集-7,kIu7gRM.HvFd4Z,936EACBE07F201DF,18,3,7,3,14,0,0,0,0,1,0,1,0,0,0
028b7fc184a487a2e4cb88bce4d9676f191b021b52a931d981abd18283e89b33,androiddevice,com.sonyericsson.androidapp.microblogci8dmdo4,936EACBE07F201DF,7,2,2,0,5,0,0,0,0,1,0,1,1,0,0
028ebd3e297fc09e46a00691eed5959a09d38406127865705276569931050532,极品钢琴,com.superchl,4FE57042,7,7,3,3,12,1,1,2,10,10,0,8,0,1,1
02981bf35fd07f71bacdf2f814dea79f9196312b4d038c8b84aa5832e6be106c,Flash_Player,com.software.android.install,4E23381A,6,3,4,1,10,1,1,1,2,2,0,1,0,1,1
029af9cbf24211dde5ede164c112689f4b0ffd2510e38e578907f1e5cfb554cd,定时器秒表,com.ajax.wvphotomashup,936EACBE07F201DF,3,4,3,5,11,0,0,0,0,0,0,3,0,0,0
02a3e9c06f6ad3225d0300fb4552e335aebb1bb290dcd7773a2ae41f045cedac,Browser,com.software.softinstall,31F331E3,5,3,4,0,11,1,1,1,2,3,0,1,0,1,1
02a41ab2016664c914eacbbeeb8248b9a48752f00368a596b33571d4b7015070,常用电话,com.example.commonphone,551165B7,19,2,8,6,31,0,0,0,0,0,0,1,0,0,0
02adbe59fb7308329f3fd1cc618d7e67290c5f244976fcf157af38c18146d9a5,相册,com.TG90.dCV,936EACBE07F201DF,10,8,5,2,16,0,0,0,0,0,0,1,1,0,0
02aee7a214332117177a7948d024f8fd4e92ea8ea71e97507d951c814258bbe1,GPS Spy Tracker,net.maxicom.android.tracker,936EACBE07F201DF,2,1,1,1,5,0,0,0,0,1,0,1,0,0,0
02bfec2ec4b3733d6f5d338f8ab3de4d2ad6de4ac60d5d0855a13f62d7c8bb16,Browser,com.software.opera,31F331E3,5,3,4,0,11,1,1,1,2,3,0,1,0,1,1
02d54c75d21ba04b527f1967030b10299c0724d69173b31b1a649eb4d5929258,MiniWeather,com.cloud.android.miniweather,4DE38EA5,5,7,2,1,8,9,3,3,8,6,0,2,0,9,10
02dea5634d1126206d8d1db0407be408bcec8dfe7c5d2bb6545b2eb1ef88798e,王者战机,wzzj.wangzhec.zhanji,6F25E669,16,6,3,5,19,0,0,0,0,4,0,6,0,0,0
02e2ccdabbb7e7a4412d33e36655fab3b14ccf92764e7c51b8c04eba9b196000,Обновление браузера,com.apps.pack,4E868DEC,4,5,3,1,10,0,0,0,0,2,2,1,0,0,0
02e99cbe9ce3fe603c5f95e108c90ab044a567f135fe71d0b30ad01e88a72fe0,CJ대한통운 택배 고객서비스.,ronszi7a.roiszn7z.view,936EACBE07F201DF,4,2,3,1,9,2,1,1,2,1,0,1,0,2,2
02f2d875ea9b2c2122d2b7c35a8975477be550b98f2bc01a254329ad5a77121d,widgetsoid2_x_3_2_1,com.software.app,24ED6494,6,3,4,1,9,0,0,0,0,2,0,1,0,0,0
02f87362c246a5f8de49d8a8a2225f559fcb196fb50ed1bd092dfbef6da9bdfa,Chris Cornell,com.bswhaney.ChrisCornell,5B46CAB3,1,4,0,0,5,6,5,4,10,3,21,10,0,6,5
02f8b7fd9ce8c89f87513148d2de59a18544d624bd317dcdf81231663b1fd822,热辣院线,com.android.dgtt.d4gde,54605D1E,9,3,5,2,13,2,1,1,2,7,62,1,1,2,2
02f923260a91569f84b1fc87d1fa52a567893d67140f31904dda732e703a210e,定时器秒表,com.ajax.wvphotomashup,936EACBE07F201DF,3,4,3,5,11,0,0,0,0,0,0,3,0,0,0
030754c57be32b8db0b753e8c263b5da0315250ea3c6f2c2a97d6d57aa257fd9,Phone_Spy,com.kjfjgrbb,51F6240E,1,3,0,0,4,0,0,0,0,0,0,1,0,0,0
03121fba02af88bc4da94d1305c5a88a621737ff331138cf650492dc038c3d79,EMS.,gnnma.gnnmb.view,936EACBE07F201DF,3,2,2,1,7,0,1,0,0,1,0,1,0,0,0
